USER_ID,USERNAME,PASSWORD_HASH,ROLE,EMAIL
1,admin,$2a$10$hash0001,Admin,admin@example.com
2,manager1,$2a$10$hash0002,Manager,manager1@example.com
3,supervisor1,$2a$10$hash0003,Supervisor,supervisor1@example.com
4,adjuster1,$2a$10$hash0004,Adjuster,adjuster1@example.com
5,adjuster2,$2a$10$hash0005,Adjuster,adjuster2@example.com
6,adjuster3,$2a$10$hash0006,Adjuster,adjuster3@example.com
7,adjuster4,$2a$10$hash0007,Adjuster,adjuster4@example.com
8,adjuster5,$2a$10$hash0008,Adjuster,adjuster5@example.com
9,manager2,$2a$10$hash0009,Manager,manager2@example.com
10,supervisor2,$2a$10$hash0010,Supervisor,supervisor2@example.com
11,adjuster6,$2a$10$hash0011,Adjuster,adjuster6@example.com
12,adjuster7,$2a$10$hash0012,Adjuster,adjuster7@example.com
13,adjuster8,$2a$10$hash0013,Adjuster,adjuster8@example.com
14,adjuster9,$2a$10$hash0014,Adjuster,adjuster9@example.com
15,adjuster10,$2a$10$hash0015,Adjuster,adjuster10@example.com
16,manager3,$2a$10$hash0016,Manager,manager3@example.com
17,supervisor3,$2a$10$hash0017,Supervisor,supervisor3@example.com
18,adjuster11,$2a$10$hash0018,Adjuster,adjuster11@example.com
19,adjuster12,$2a$10$hash0019,Adjuster,adjuster12@example.com
20,adjuster13,$2a$10$hash0020,Adjuster,adjuster13@example.com
21,adjuster14,$2a$10$hash0021,Adjuster,adjuster14@example.com
22,adjuster15,$2a$10$hash0022,Adjuster,adjuster15@example.com
23,manager4,$2a$10$hash0023,Manager,manager4@example.com
24,supervisor4,$2a$10$hash0024,Supervisor,supervisor4@example.com
25,adjuster16,$2a$10$hash0025,Adjuster,adjuster16@example.com
26,adjuster17,$2a$10$hash0026,Adjuster,adjuster17@example.com
27,adjuster18,$2a$10$hash0027,Adjuster,adjuster18@example.com
28,adjuster19,$2a$10$hash0028,Adjuster,adjuster19@example.com
29,adjuster20,$2a$10$hash0029,Adjuster,adjuster20@example.com
30,manager5,$2a$10$hash0030,Manager,manager5@example.com
31,supervisor5,$2a$10$hash0031,Supervisor,supervisor5@example.com
32,adjuster21,$2a$10$hash0032,Adjuster,adjuster21@example.com
33,adjuster22,$2a$10$hash0033,Adjuster,adjuster22@example.com
34,adjuster23,$2a$10$hash0034,Adjuster,adjuster23@example.com
35,adjuster24,$2a$10$hash0035,Adjuster,adjuster24@example.com
36,adjuster25,$2a$10$hash0036,Adjuster,adjuster25@example.com
37,manager6,$2a$10$hash0037,Manager,manager6@example.com
38,supervisor6,$2a$10$hash0038,Supervisor,supervisor6@example.com
39,adjuster26,$2a$10$hash0039,Adjuster,adjuster26@example.com
40,adjuster27,$2a$10$hash0040,Adjuster,adjuster27@example.com
41,adjuster28,$2a$10$hash0041,Adjuster,adjuster28@example.com
42,adjuster29,$2a$10$hash0042,Adjuster,adjuster29@example.com
43,adjuster30,$2a$10$hash0043,Adjuster,adjuster30@example.com
44,manager7,$2a$10$hash0044,Manager,manager7@example.com
45,supervisor7,$2a$10$hash0045,Supervisor,supervisor7@example.com
46,adjuster31,$2a$10$hash0046,Adjuster,adjuster31@example.com
47,adjuster32,$2a$10$hash0047,Adjuster,adjuster32@example.com
48,adjuster33,$2a$10$hash0048,Adjuster,adjuster33@example.com
49,adjuster34,$2a$10$hash0049,Adjuster,adjuster34@example.com
50,adjuster35,$2a$10$hash0050,Adjuster,adjuster35@example.com
51,manager8,$2a$10$hash0051,Manager,manager8@example.com
52,supervisor8,$2a$10$hash0052,Supervisor,supervisor8@example.com
53,adjuster36,$2a$10$hash0053,Adjuster,adjuster36@example.com
54,adjuster37,$2a$10$hash0054,Adjuster,adjuster37@example.com
55,adjuster38,$2a$10$hash0055,Adjuster,adjuster38@example.com
56,adjuster39,$2a$10$hash0056,Adjuster,adjuster39@example.com
